Source_File,With_E,Without_E,Total,Percent_With_E
ABC_gui_complete.csv,13,73,86,15.12%
Anelida_gui_complete.csv,29,156,185,15.68%
BD_gui_complete.csv,139,591,730,19.04%
CYT_gui_complete.csv,61,352,413,14.77%
ClT_gui_complete.csv,92,404,496,18.55%
FranT_gui_complete.csv,63,385,448,14.06%
FriPro_gui_complete.csv,0,10,10,0.00%
FriT_gui_complete.csv,21,142,163,12.88%
GP_gui_complete.csv,60,262,322,18.63%
HF_gui_complete.csv,155,848,1003,15.45%
KnT_gui_complete.csv,137,875,1012,13.54%
LGW_FPro_gui_complete.csv,57,201,258,22.09%
LGW_gui_complete.csv,174,944,1118,15.56%
MLPro_gui_complete.csv,6,36,42,14.29%
MLT_gui_complete.csv,61,346,407,14.99%
MancPro_gui_complete.csv,7,52,59,11.86%
MancT_gui_complete.csv,17,111,128,13.28%
MerPro_gui_complete.csv,4,12,16,25.00%
MerT_gui_complete.csv,84,516,600,14.00%
MilT_gui_complete.csv,53,266,319,16.61%
MkT_gui_complete.csv,46,246,292,15.75%
NPPro_gui_complete.csv,2,27,29,6.90%
NPT_gui_complete.csv,44,230,274,16.06%
PF_gui_complete.csv,56,284,340,16.47%
PardT_gui_complete.csv,31,218,249,12.45%
ParsPro_gui_complete.csv,7,20,27,25.93%
PhyT_gui_complete.csv,21,95,116,18.10%
PrT_gui_complete.csv,13,81,94,13.83%
RvPro_gui_complete.csv,4,30,34,11.76%
RvT_gui_complete.csv,26,185,211,12.32%
SNT_gui_complete.csv,35,171,206,16.99%
ShipT_gui_complete.csv,25,161,186,13.44%
SqT_gui_complete.csv,49,275,324,15.12%
SumPro_gui_complete.csv,3,20,23,13.04%
SumT_gui_complete.csv,41,263,304,13.49%
TC1_gui_complete.csv,121,512,633,19.12%
TC2_gui_complete.csv,206,890,1096,18.80%
TC3_gui_complete.csv,193,871,1064,18.14%
TC4_gui_complete.csv,174,871,1045,16.65%
TC5_gui_complete.csv,166,990,1156,14.36%
ThopPro_gui_complete.csv,2,9,11,18.18%
Thop_gui_complete.csv,11,43,54,20.37%
WBPro_gui_complete.csv,35,365,400,8.75%
WBT_gui_complete.csv,39,173,212,18.40%
