Source_File,than,thanne,Total,Percent_than
ABC_gui_complete.csv,3,0,3,100.00%
Anelida_gui_complete.csv,3,0,3,100.00%
BD_gui_complete.csv,16,1,17,94.12%
CYT_gui_complete.csv,9,3,12,75.00%
ClT_gui_complete.csv,7,0,7,100.00%
FranT_gui_complete.csv,32,0,32,100.00%
FriT_gui_complete.csv,8,0,8,100.00%
GP_gui_complete.csv,11,0,11,100.00%
HF_gui_complete.csv,10,2,12,83.33%
KnT_gui_complete.csv,24,2,26,92.31%
LGW_FPro_gui_complete.csv,11,0,11,100.00%
LGW_gui_complete.csv,25,2,27,92.59%
MLPro_gui_complete.csv,2,0,2,100.00%
MLT_gui_complete.csv,5,0,5,100.00%
MancPro_gui_complete.csv,6,0,6,100.00%
MancT_gui_complete.csv,1,1,2,50.00%
MerT_gui_complete.csv,29,5,34,85.29%
MilT_gui_complete.csv,15,0,15,100.00%
MkT_gui_complete.csv,6,0,6,100.00%
NPPro_gui_complete.csv,1,0,1,100.00%
NPT_gui_complete.csv,11,1,12,91.67%
PF_gui_complete.csv,17,1,18,94.44%
PardT_gui_complete.csv,8,1,9,88.89%
ParsPro_gui_complete.csv,1,0,1,100.00%
PhyT_gui_complete.csv,0,1,1,0.00%
PrT_gui_complete.csv,2,1,3,66.67%
RvPro_gui_complete.csv,1,0,1,100.00%
RvT_gui_complete.csv,4,0,4,100.00%
SNT_gui_complete.csv,7,0,7,100.00%
ShipT_gui_complete.csv,4,1,5,80.00%
SqT_gui_complete.csv,5,1,6,83.33%
SumT_gui_complete.csv,10,1,11,90.91%
TC1_gui_complete.csv,20,0,20,100.00%
TC2_gui_complete.csv,23,1,24,95.83%
TC3_gui_complete.csv,18,3,21,85.71%
TC4_gui_complete.csv,31,1,32,96.88%
TC5_gui_complete.csv,18,3,21,85.71%
Thop_gui_complete.csv,1,0,1,100.00%
WBPro_gui_complete.csv,24,1,25,96.00%
WBT_gui_complete.csv,6,0,6,100.00%
