headword,successes,failures,total,failure_rate,high_failure
sweren,1,18,19,0.9473684210526315,YES
slen,8,38,46,0.8260869565217391,NO
stelen,1,2,3,0.6666666666666666,NO
wepen,2,1,3,0.3333333333333333,NO
finden,9,1,10,0.1,NO
faren,10,1,11,0.09090909090909091,NO
comen,30,1,31,0.03225806451612903,NO
singen,8,0,8,0.0,NO
binden,5,0,5,0.0,NO
biginnen,13,0,13,0.0,NO
driven,7,0,7,0.0,NO
riden,3,0,3,0.0,NO
winnen,10,0,10,0.0,NO
yeven,13,0,13,0.0,NO
eten,3,0,3,0.0,NO
writen,11,0,11,0.0,NO
wreken,4,0,4,0.0,NO
shapen,9,0,9,0.0,NO
speken,8,0,8,0.0,NO
knouen,10,0,10,0.0,NO
taken,16,0,16,0.0,NO
drauen,7,0,7,0.0,NO
helpen,5,0,5,0.0,NO
ifinden,6,0,6,0.0,NO
breken,4,0,4,0.0,NO
foryeten,3,0,3,0.0,NO
chesen,4,0,4,0.0,NO
fallen,10,0,10,0.0,NO
understonden,5,0,5,0.0,NO
